local_law_id,name,address,type_of_law_enforcement,city_id
1015215,AKRON POLICE DEPARTMENT,217 SOUTH HIGH STREET,LOCAL POLICE DEPARTMENT,1840000791
1012782,FREMONT POLICE DEPARTMENT,725 NORTH PARK AVENUE,LOCAL POLICE DEPARTMENT,1840003346
1015635,GRAFTON POLICE DEPARTMENT,1009 CHESTNUT STREET,LOCAL POLICE DEPARTMENT,1840011590
1010330,ORTONVILLE POLICE DEPARTMENT,225 3RD STREET NORTHWEST,LOCAL POLICE DEPARTMENT,1840008896
1016612,OKEENE POLICE DEPARTMENT,118 WEST MADISON AVENUE,LOCAL POLICE DEPARTMENT,1840022693
1021551,KAYSVILLE POLICE DEPARTMENT,58 EAST 100 NORTH,LOCAL POLICE DEPARTMENT,1840018738
1015233,ANNA POLICE DEPARTMENT,207 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840010440
1019516,PLEASANT VIEW POLICE DEPARTMENT,1008 CIVIC COURT,LOCAL POLICE DEPARTMENT,1840014461
1015502,CORTLAND POLICE DEPARTMENT,400 NORTH HIGH STREET,LOCAL POLICE DEPARTMENT,1840007128
1016133,SUGAR GROVE POLICE DEPARTMENT,101 BRIDGE STREET,LOCAL POLICE DEPARTMENT,1840012474
1010860,LATHROP POLICE DEPARTMENT,117 PINE STREET,LOCAL POLICE DEPARTMENT,1840008445
1016082,SHADYSIDE POLICE DEPARTMENT,50 EAST 39TH STREET,LOCAL POLICE DEPARTMENT,1840012389
1015845,MILFORD POLICE DEPARTMENT,745 CENTER STREET,LOCAL POLICE DEPARTMENT,1840003825
1022629,BERLIN POLICE DEPARTMENT,108 NORTH CAPRON STREET,LOCAL POLICE DEPARTMENT,1840002590
1012647,EMMONS COUNTY SHERIFFS DEPARTMENT,100 NORTHWEST 4TH STREET,SHERIFF'S OFFICE,1840000208
1015249,ATHENS CITY POLICE DEPARTMENT,11 NORTH COLLEGE STREET,LOCAL POLICE DEPARTMENT,1840007355
1015506,CRESTLINE POLICE DEPARTMENT,100 NORTH SELTZER STREET,LOCAL POLICE DEPARTMENT,1840007171
1015369,CELINA POLICE DEPARTMENT,202 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840007210
1021905,LEESBURG POLICE DEPARTMENT,65 PLAZA STREET NORTHEAST,LOCAL POLICE DEPARTMENT,1840005872
1014065,CHURCHILL COUNTY SHERIFFS OFFICE / CHURCHILL COUNTY DETENTION,73 NORTH MAINE STREET,SHERIFF'S OFFICE,1840020191
1019568,SPARTA POLICE DEPARTMENT,323 EAST BOCKMAN WAY,LOCAL POLICE DEPARTMENT,1840015354
1019257,FAIRVIEW POLICE DEPARTMENT,7100 CITY CENTER CIRCLE,LOCAL POLICE DEPARTMENT,1840013379
1022757,FERRYVILLE POLICE DEPARTMENT,170 PINE STREET,LOCAL POLICE DEPARTMENT,1840002885
1015371,CENTERVILLE POLICE DEPARTMENT,155 WEST SPRING VALLEY ROAD,LOCAL POLICE DEPARTMENT,1840007308
1015615,GARRETTSVILLE POLICE DEPARTMENT,8123 HIGH STREET,LOCAL POLICE DEPARTMENT,1840000807
1023479,SMITHERS POLICE DEPARTMENT,175 MICHIGAN AVENUE,LOCAL POLICE DEPARTMENT,1840006298
1021675,WELLINGTON POLICE DEPARTMENT,150 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840021435
1010623,COLE CAMP POLICE DEPARTMENT,401 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840007495
1015311,WOOD COUNTY PARK DISTRICT,18729 MERCER ROAD,SPECIAL JURISDICTION,1840000621
1023543,WINFIELD POLICE DEPARTMENT,"3232 WINFIELD ROAD, UNIT 2",LOCAL POLICE DEPARTMENT,1840006184
1015801,MARION CITY POLICE DEPARTMENT,233 WEST CENTER STREET,LOCAL POLICE DEPARTMENT,1840008332
1023208,ANSTED POLICE DEPARTMENT,104 CEMETERY STREET,LOCAL POLICE DEPARTMENT,1840006299
1012159,ASHE COUNTY SHERIFFS DEPARTMENT,225 COURT STREET,SHERIFF'S OFFICE,1840016027
1015303,BLUE ASH POLICE DEPARTMENT,4343 COOPER ROAD,LOCAL POLICE DEPARTMENT,1840003812
1013568,ESSEX COMMUNITY COLLEGE POLICE DEPARTMENT,303 UNIVERSITY AVENUE,SPECIAL JURISDICTION,1840002791
1016305,EAST CENTRAL UNIVERSITY POLICE,1036 EAST 10TH STREET,SPECIAL JURISDICTION,1840019191
1011907,BURNSVILLE POLICE DEPARTMENT,2 TOWN SQUARE,LOCAL POLICE DEPARTMENT,1840015353
1012472,TARBORO POLICE DEPARTMENT,318 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840016177
1015944,NORWOOD POLICE DEPARTMENT,4701 MONTGOMERY ROAD,LOCAL POLICE DEPARTMENT,1840001610
1021974,NORFOLK INTERNATIONAL AIRPORT POLICE DEPARTMENT,2200 NORVIEW AVENUE,SPECIAL JURISDICTION,1840003869
1010942,MOUNTAIN VIEW POLICE DEPARTMENT,233 WEST 2ND STREET,LOCAL POLICE DEPARTMENT,1840008791
1012406,LEE COUNTY HIGH SCHOOL POLICE RESOURCE,1708 NASH STREET,SPECIAL JURISDICTION,1840015421
1011851,BUNCOMBE COUNTY SHERIFFS DEPARTMENT,202 HAYWOOD STREET,SHERIFF'S OFFICE,1840013411
1018982,SOUTH DAKOTA COMMISSION ON GAMING LAW ENFORCEMENT,"696 MAIN STREET, 2ND FLOOR",SPECIAL JURISDICTION,1840000312
1022410,OAK HARBOR POLICE DEPARTMENT,860 SOUTHEAST BARRINGTON DRIVE,LOCAL POLICE DEPARTMENT,1840019779
1012146,TOWN OF HUDSON POLICE DEPARTMENT,550 CENTRAL STREET,LOCAL POLICE DEPARTMENT,1840016187
1022502,SHELTON POLICE DEPARTMENT,525 WEST COTA STREET,LOCAL POLICE DEPARTMENT,1840021123
1010460,WARROAD POLICE DEPARTMENT,802 CHERNE DRIVE NORTHWEST,LOCAL POLICE DEPARTMENT,1840009952
1010346,PINE COUNTY SHERIFFS OFFICE / PINE COUNTY DETENTION CENTER,635 NORTHRIDGE DRIVE NORTHWEST,SHERIFF'S OFFICE,1840000237
1012077,RANLO POLICE DEPARTMENT,1624 SPENCER MOUNTAIN ROAD,LOCAL POLICE DEPARTMENT,1840013468
1019560,HANCOCK COUNTY SHERIFFS DEPARTMENT / HANCOCK COUNTY JAIL,265 NEW JAIL STREET,SHERIFF'S OFFICE,1840017698
1019565,SOUTH FULTON POLICE DEPARTMENT,700 MILTON COUNCE DRIVE,LOCAL POLICE DEPARTMENT,1840015279
1022621,BEAVER DAM POLICE DEPARTMENT,205 SOUTH LINCOLN AVENUE,LOCAL POLICE DEPARTMENT,1840002738
1011026,POTOSI POLICE DEPARTMENT,1 POLICE PLAZA,LOCAL POLICE DEPARTMENT,1840009846
1022501,MASON COUNTY SHERIFFS OFFICE,419 NORTH 4TH STREET,SHERIFF'S OFFICE,1840021123
1021654,SOUTH JORDAN POLICE DEPARTMENT,1600 WEST TOWNE CENTER DRIVE,LOCAL POLICE DEPARTMENT,1840021385
1010038,BLAINE POLICE DEPARTMENT,10801 TOWN SQUARE DRIVE NORTHEAST,LOCAL POLICE DEPARTMENT,1840006719
1012887,PAPILLION POLICE DEPARTMENT,1000 EAST 1ST STREET,LOCAL POLICE DEPARTMENT,1840009328
1013513,HAMILTON TOWNSHIP POLICE DEPARTMENT,6101 13TH STREET,LOCAL POLICE DEPARTMENT,1840005597
1013337,EDGEWATER BOROUGH POLICE DEPARTMENT,916 RIVER ROAD,LOCAL POLICE DEPARTMENT,1840003543
1013290,CARLSTADT POLICE DEPARTMENT,500 MADISON STREET,LOCAL POLICE DEPARTMENT,1840000895
1013206,WATERFORD TOWNSHIP POLICE DEPARTMENT,2131 AUBURN AVENUE,LOCAL POLICE DEPARTMENT,1840033217
1013642,POINT PLEASANT POLICE DEPARTMENT,2233 BRIDGE AVENUE,LOCAL POLICE DEPARTMENT,1840001485
1013292,CARTERET POLICE DEPARTMENT,230 ROOSEVELT AVENUE,LOCAL POLICE DEPARTMENT,1840001331
1013075,LACONIA POLICE DEPARTMENT,126 NEW SALEM STREET,LOCAL POLICE DEPARTMENT,1840002683
1013678,ROSELLE PARK POLICE DEPARTMENT,110 EAST WESTFIELD AVENUE,LOCAL POLICE DEPARTMENT,1840001093
1013318,CRANFORD POLICE DEPARTMENT,8 SPRINGFIELD AVENUE,LOCAL POLICE DEPARTMENT,1840153050
1013655,RAHWAY POLICE DEPARTMENT,1 CITY HALL PLAZA,LOCAL POLICE DEPARTMENT,1840001091
1013015,DOVER POLICE DEPARTMENT,46 LOCUST STREET,LOCAL POLICE DEPARTMENT,1840002808
1013802,WILDWOOD POLICE DEPARTMENT,4400 NEW JERSEY AVENUE,LOCAL POLICE DEPARTMENT,1840001602
1013344,ELIZABETH POLICE DEPARTMENT,1 POLICE PLAZA,LOCAL POLICE DEPARTMENT,1840003613
1019318,JACKSBORO POLICE DEPARTMENT,585 MAIN STREET,LOCAL POLICE DEPARTMENT,1840016023
1013614,PALMYRA BOROUGH POLICE DEPARTMENT,20 WEST BROAD STREET,LOCAL POLICE DEPARTMENT,1840001479
1013307,CLIFFSIDE PARK POLICE DEPARTMENT,525 PALISADE AVENUE,LOCAL POLICE DEPARTMENT,1840003537
1019151,BRUCETON POLICE DEPARTMENT,209 CHEATHAM STREET,LOCAL POLICE DEPARTMENT,1840015348
1019306,HOLLOW ROCK POLICE DEPARTMENT,27960 BROAD STREET,LOCAL POLICE DEPARTMENT,1840016179
1013429,HILLSBOROUGH TOWNSHIP POLICE DEPARTMENT,379 SOUTH BRANCH ROAD,LOCAL POLICE DEPARTMENT,1840153047
1019311,CARROLL COUNTY SHERIFFS DEPARTMENT,126 WEST PARIS STREET,SHERIFF'S OFFICE,1840016180
1013427,HIGHLANDS POLICE DEPARTMENT,171 BAY AVENUE,LOCAL POLICE DEPARTMENT,1840003688
1019220,CUMBERLAND GAP POLICE DEPARTMENT,330 COLWYN STREET,LOCAL POLICE DEPARTMENT,1840016020
1013308,CLIFTON POLICE DEPARTMENT,900 CLIFTON AVENUE,LOCAL POLICE DEPARTMENT,1840003511
1019592,TULLAHOMA POLICE DEPARTMENT,201 WEST GRUNDY STREET,LOCAL POLICE DEPARTMENT,1840015410
1013403,HADDON HEIGHTS POLICE DEPARTMENT,625 STATION AVENUE,LOCAL POLICE DEPARTMENT,1840003779
1013742,HAMILTON TOWNSHIP POLICE DEPARTMENT,1270 WHITEHORSE MERCERVILLE ROAD,LOCAL POLICE DEPARTMENT,1840001383
1013645,POMPTON LAKES POLICE DEPARTMENT,25 LENOX AVENUE,LOCAL POLICE DEPARTMENT,1840000833
1022251,BLAINE POLICE DEPARTMENT,322 H STREET,LOCAL POLICE DEPARTMENT,1840018347
1015228,AMELIA POLICE DEPARTMENT,44 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840010681
1019538,RUTLEDGE POLICE DEPARTMENT,8060 RUTLEDGE PIKE,LOCAL POLICE DEPARTMENT,1840017722
1019542,SAVANNAH POLICE DEPARTMENT,80 KING STREET,LOCAL POLICE DEPARTMENT,1840015453
1019590,TRIMBLE POLICE DEPARTMENT,22 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840016160
1015981,PEEBLES POLICE DEPARTMENT,34 SOUTH NIXON AVENUE,LOCAL POLICE DEPARTMENT,1840012770
1010045,BRAINERD POLICE DEPARTMENT,225 EAST RIVER ROAD,LOCAL POLICE DEPARTMENT,1840006644
1016204,AUGLAIZE COUNTY SHERIFFS DEPARTMENT / AUGLAIZE COUNTY JAIL,1051 DEARBAUGH AVENUE,SHERIFF'S OFFICE,1840010391
1019535,ROSSVILLE POLICE DEPARTMENT,360 MORRISON ROAD,LOCAL POLICE DEPARTMENT,1840017867
1012601,CROSBY POLICE DEPARTMENT,107 WEST CENTRAL AVENUE,LOCAL POLICE DEPARTMENT,1840000034
1021814,EDINBURG POLICE DEPARTMENT,101 TOWN HALL AVENUE,LOCAL POLICE DEPARTMENT,1840006001
1022119,WAVERLY POLICE DEPARTMENT,119 BANK STREET,LOCAL POLICE DEPARTMENT,1840006500
1022121,WAYNESBORO POLICE DEPARTMENT,250 SOUTH WAYNE AVENUE,LOCAL POLICE DEPARTMENT,1840003848
1021700,APPALACHIA POLICE DEPARTMENT,508 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840006480
1019403,MEDINA CITY POLICE DEPARTMENT,112 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015340
1015886,NEW BREMEN POLICE DEPARTMENT,214 NORTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT,1840012071
1022005,PORTSMOUTH POLICE DEPARTMENT,711 CRAWFORD STREET,LOCAL POLICE DEPARTMENT,1840003872
1019554,SIGNAL MOUNTAIN POLICE DEPARTMENT,1111 RIDGEWAY AVENUE,LOCAL POLICE DEPARTMENT,1840017859
1016245,WEST UNION POLICE DEPARTMENT,33 LOGANS LANE,LOCAL POLICE DEPARTMENT,1840012773
1022086,STRASBURG POLICE DEPARTMENT,57 EAST KING STREET,LOCAL POLICE DEPARTMENT,1840006004
1019522,PULASKI CITY POLICE DEPARTMENT,203 SOUTH 1ST STREET,LOCAL POLICE DEPARTMENT,1840014575
1021743,BUENA VISTA SHERIFFS OFFICE,2039 SYCAMORE AVENUE,SHERIFF'S OFFICE,1840003851
1015495,CONNEAUT POLICE DEPARTMENT,294 MAIN STREET,LOCAL POLICE DEPARTMENT,1840003337
1015293,BETHESDA POLICE DEPARTMENT,112 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840012383
1021813,DUMFRIES POLICE DEPARTMENT,18130 TRIANGLE SHOPPING PLAZA,LOCAL POLICE DEPARTMENT,1840006102
1015240,ASHLAND COUNTY SHERIFFS OFFICE / ASHLAND COUNTY JAIL,1205 EAST MAIN STREET,SHERIFF'S OFFICE,1840002751
1015262,BARNESVILLE POLICE DEPARTMENT,132 NORTH ARCH STREET,LOCAL POLICE DEPARTMENT,1840012380
1021626,ROY POLICE DEPARTMENT,5051 SOUTH 1900 WEST,LOCAL POLICE DEPARTMENT,1840020132
1019569,WHITE COUNTY JUSTICE CENTER,111 DEPOT STREET,SHERIFF'S OFFICE,1840015354
1012740,BOYD COUNTY SHERIFFS OFFICE,401 THAYER STREET,SHERIFF'S OFFICE,1840010078
1022083,STEPHENS CITY POLICE DEPARTMENT,1033 LOCUST STREET,LOCAL POLICE DEPARTMENT,1840005777
1011691,ANACONDA-DEER LODGE COUNTY LAW ENFORCEMENT AGENCY,800 SOUTH OAK STREET,LOCAL POLICE DEPARTMENT,1840074775
1011928,CATAWBA POLICE DEPARTMENT,107 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840016282
1021843,FRIES POLICE DEPARTMENT,316 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840006561
1012428,SILER CITY POLICE DEPARTMENT,312 NORTH CHATHAM AVENUE,LOCAL POLICE DEPARTMENT,1840017783
1019489,NEW JOHNSONVILLE POLICE DEPARTMENT,323 LONG STREET,LOCAL POLICE DEPARTMENT,1840014480
1012612,EMERADO POLICE DEPARTMENT,102 EAST OLDHAM AVENUE,LOCAL POLICE DEPARTMENT,1840000099
1010230,LE SUEUR COUNTY SHERIFF / LE SUEUR COUNTY JAIL,88 SOUTH PARK AVENUE,SHERIFF'S OFFICE,1840007886
1021846,GALAX POLICE DEPARTMENT,353 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840003877
1022045,ROANOKE CITY POLICE DEPARTMENT,348 CAMPBELL AVENUE SOUTHWEST,LOCAL POLICE DEPARTMENT,1840003858
1022856,RUSK COUNTY SHERIFFS DEPARTMENT,"311 EAST MINER AVENUE, SUITE L100",SHERIFF'S OFFICE,1840002082
1015617,GENEVA POLICE DEPARTMENT,44 NORTH FOREST STREET,LOCAL POLICE DEPARTMENT,1840008145
1019508,PARIS POLICE DEPARTMENT,100 NORTH CALDWELL STREET,LOCAL POLICE DEPARTMENT,1840014438
1022081,STAUNTON POLICE DEPARTMENT,116 WEST BEVERLEY STREET,LOCAL POLICE DEPARTMENT,1840001670
1015942,NORWALK POLICE DEPARTMENT,37 NORTH LINWOOD AVENUE,LOCAL POLICE DEPARTMENT,1840000817
1010060,BURNSVILLE POLICE DEPARTMENT,100 CIVIC CENTER PARKWAY,LOCAL POLICE DEPARTMENT,1840006766
1010119,EAGAN POLICE DEPARTMENT,3830 PILOT KNOB ROAD,LOCAL POLICE DEPARTMENT,1840007852
1015646,GREENWICH POLICE DEPARTMENT,47 MAIN STREET,LOCAL POLICE DEPARTMENT,1840011706
1021851,GLASGOW POLICE DEPARTMENT,1100 BLUE RIDGE ROAD,LOCAL POLICE DEPARTMENT,1840006315
1010286,MINNETONKA POLICE DEPARTMENT,14600 MINNETONKA BOULEVARD,LOCAL POLICE DEPARTMENT,1840007831
1012789,GOTHENBURG POLICE DEPARTMENT,405 9TH STREET,LOCAL POLICE DEPARTMENT,1840008284
1015857,MONTGOMERY POLICE DEPARTMENT,10150 MONTGOMERY ROAD,LOCAL POLICE DEPARTMENT,1840008521
1021873,HANOVER COUNTY SHERIFFS OFFICE,7522 COUNTY COMPLEX ROAD,SHERIFF'S OFFICE,1840026796
1015304,BLUFFTON POLICE DEPARTMENT,154 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840011951
1010493,GENTRY COUNTY SHERIFFS DEPARTMENT,104 NORTH POLK STREET,SHERIFF'S OFFICE,1840007240
1015809,CITY OF MASON POLICE DEPARTMENT,6000 MASON MONTGOMERY ROAD,LOCAL POLICE DEPARTMENT,1840008467
1015872,MOUNT VERNON POLICE DEPARTMENT,5 NORTH GAY STREET,LOCAL POLICE DEPARTMENT,1840001343
1022401,MOUNTLAKE TERRACE POLICE DEPARTMENT,5906 232ND STREET SOUTHWEST,LOCAL POLICE DEPARTMENT,1840019792
1010995,MONROE COUNTY SHERIFFS DEPARTMENT,300 NORTH MAIN STREET,SHERIFF'S OFFICE,1840009565
1022291,COUPEVILLE MARSHALS OFFICE,4 NORTHEAST 7TH STREET,CONSTABLE/MARSHAL,1840021075
1010831,CHARITON COUNTY SHERIFFS DEPARTMENT / CHARITON COUNTY JAIL,307 SOUTH CHERRY STREET,SHERIFF'S OFFICE,1840008447
1013555,HARRISON TOWNSHIP POLICE DEPARTMENT,137 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840016703
1013518,MERCHANTVILLE BOROUGH POLICE DEPARTMENT,1 WEST MAPLE AVENUE,LOCAL POLICE DEPARTMENT,1840003770
1013496,MAGNOLIA POLICE DEPARTMENT,438 WEST EVESHAM AVENUE,LOCAL POLICE DEPARTMENT,1840003769
1022269,CHEHALIS POLICE DEPARTMENT,"350 NORTH MARKET BOULEVARD, ROOM 201",LOCAL POLICE DEPARTMENT,1840018472
1022407,NORMANDY PARK POLICE DEPARTMENT,801 SOUTHWEST 174TH STREET,LOCAL POLICE DEPARTMENT,1840019832
1013516,MEDFORD LAKES BOROUGH POLICE,1 CABIN CIRCLE DRIVE,LOCAL POLICE DEPARTMENT,1840003752
1022113,WARRENTON POLICE DEPARTMENT,333 CARRIAGE HOUSE LANE,LOCAL POLICE DEPARTMENT,1840006058
1013469,LAUREL SPRINGS POLICE DEPARTMENT,723 WEST ATLANTIC AVENUE,LOCAL POLICE DEPARTMENT,1840001513
1022351,KENT POLICE DEPARTMENT,220 FOURTH AVENUE SOUTH,LOCAL POLICE DEPARTMENT,1840018424
1012206,LEXINGTON POLICE DEPARTMENT,106 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015360
1011750,GREAT FALLS INTERNATIONAL AIRPORT POLICE,"2800 TERMINAL DRIVE, 2ND FLOOR",SPECIAL JURISDICTION,1840019839
1015636,GRAND RIVER POLICE DEPARTMENT,205 SINGER AVENUE,LOCAL POLICE DEPARTMENT,1840000534
1015819,MCCOMB POLICE DEPARTMENT,135 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840011742
1011740,CHOUTEAU COUNTY SHERIFFS OFFICE / CHOUTEAU COUNTY LAW ENFORCEMENT FACILITY,1215 WASHINGTON STREET,SHERIFF'S OFFICE,1840019783
1023596,HULETT POLICE DEPARTMENT,123 HILL STREET,LOCAL POLICE DEPARTMENT,1840021246
1010318,NORTH BRANCH POLICE DEPARTMENT,6408 ELM STREET,LOCAL POLICE DEPARTMENT,1840007790
1010524,SCOTT COUNTY SHERIFFS DEPARTMENT,131 SOUTH NEW MADRID STREET,SHERIFF'S OFFICE,1840007638
1022756,FENNIMORE POLICE DEPARTMENT,860 LINCOLN AVENUE,LOCAL POLICE DEPARTMENT,1840002968
1023301,GASSAWAY POLICE DEPARTMENT,416 ELK STREET,LOCAL POLICE DEPARTMENT,1840006114
1023496,TERRA ALTA POLICE DEPARTMENT,"701 EAST STATE AVENUE, SUITE A",LOCAL POLICE DEPARTMENT,1840005659
1016033,RICHWOOD POLICE DEPARTMENT,101 SOUTH FRANKLIN STREET,LOCAL POLICE DEPARTMENT,1840012171
1015816,MCARTHUR POLICE DEPARTMENT,124 WEST MAIN STREET,LOCAL POLICE DEPARTMENT,1840012687
1012252,MCADENVILLE POLICE DEPARTMENT,125 MAIN STREET,LOCAL POLICE DEPARTMENT,1840016394
1015691,HUDSON POLICE DEPARTMENT,36 SOUTH OVIATT STREET,LOCAL POLICE DEPARTMENT,1840007138
1021590,NORTH SALT LAKE POLICE DEPARTMENT,17 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840020144
1021663,SUNSET POLICE DEPARTMENT,200 WEST 1300 NORTH,LOCAL POLICE DEPARTMENT,1840021351
1015973,PAINESVILLE POLICE DEPARTMENT,28 MENTOR AVENUE,LOCAL POLICE DEPARTMENT,1840000542
1010604,CHAFFEE POLICE DEPARTMENT,222 WEST YOAKUM AVENUE,LOCAL POLICE DEPARTMENT,1840007637
1010843,KIRKWOOD POLICE DEPARTMENT,131 WEST MADISON AVENUE,LOCAL POLICE DEPARTMENT,1840008598
1010234,LAKES AREA POLICE DEPARTMENT,13929 SYLVAN AVENUE,LOCAL POLICE DEPARTMENT,1840008892
1021538,HELPER POLICE DEPARTMENT,97 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840020200
1010701,CITY OF FLORISSANT POLICE DEPARTMENT,1700 NORTH UNITED STATES HIGHWAY 67,LOCAL POLICE DEPARTMENT,1840008586
1023322,LINCOLN COUNTY SHERIFFS OFFICE,"8000 COURT AVENUE, ROOM 102",SHERIFF'S OFFICE,1840006271
1013074,BELKNAP COUNTY SHERIFFS DEPARTMENT / BELKNAP COUNTY JAIL,"42 COUNTY DRIVE, 76 COUNTY DRIVE",SHERIFF'S OFFICE,1840002683
1010812,JONESBURG POLICE DEPARTMENT,106 WEST BOONSLICK ROAD,LOCAL POLICE DEPARTMENT,1840008554
1022538,TOPPENISH POLICE DEPARTMENT,1 WEST FIRST AVENUE,LOCAL POLICE DEPARTMENT,1840021151
1010849,LAKE LOTAWANA POLICE DEPARTMENT,100 LAKE LOTAWANA ROAD,LOCAL POLICE DEPARTMENT,1840008536
1010854,LAKE WINNEBAGO POLICE DEPARTMENT,10 NORTH WINNEBAGO DRIVE,LOCAL POLICE DEPARTMENT,1840008613
1015230,AMHERST POLICE DEPARTMENT,911 NORTH LAKE STREET,LOCAL POLICE DEPARTMENT,1840000640
1012187,KURE BEACH POLICE DEPARTMENT,114 NORTH 7TH AVENUE,LOCAL POLICE DEPARTMENT,1840016676
1012495,WAKE FOREST POLICE DEPARTMENT,225 S. TAYLOR ST.,LOCAL POLICE DEPARTMENT,1840016199
1023488,STONEWOOD POLICE DEPARTMENT,112 SOUTHERN AVENUE,LOCAL POLICE DEPARTMENT,1840005770
1015532,DEFIANCE COUNTY SHERIFFS OFFICE,113 BIEDE AVENUE,SHERIFF'S OFFICE,1840007133
1015379,CHESAPEAKE POLICE DEPARTMENT,211 3RD AVENUE,LOCAL POLICE DEPARTMENT,1840010756
1012239,CITY OF MARION POLICE DEPARTMENT,270 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT,1840015372
1011955,MECKLENBURG COUNTY SHERIFFS DEPARTMENT,700 EAST FOURTH STREET,SHERIFF'S OFFICE,1840014557
1023190,WILLIAMS BAY POLICE DEPARTMENT,250 WILLIAMS STREET,LOCAL POLICE DEPARTMENT,1840002477
1019157,BENTON COUNTY SHERIFFS DEPARTMENT / BENTON COUNTY JAIL,116 SOUTH ROSEMARY AVENUE,SHERIFF'S OFFICE,1840013349
1015811,MASSILLON POLICE DEPARTMENT,"2 JAMES DUNCAN PLAZA, SUITE 1",LOCAL POLICE DEPARTMENT,1840000965
1022814,NORTH HUDSON POLICE DEPARTMENT,400 7TH STREET NORTH,LOCAL POLICE DEPARTMENT,1840002135
1022263,BURLINGTON POLICE DEPARTMENT,"311 CEDAR STREET, SUITE B",LOCAL POLICE DEPARTMENT,1840018367
1016187,UTICA POLICE DEPARTMENT,39 SPRING STREET,LOCAL POLICE DEPARTMENT,1840012332
1019425,SHELBY COUNTY SHERIFFS OFFICE / SHELBY COUNTY JAIL,201 POPLAR AVENUE,SHERIFF'S OFFICE,1840015457
1019533,ROCKWOOD POLICE DEPARTMENT,115 NORTH FRONT AVENUE,LOCAL POLICE DEPARTMENT,1840014498
1019236,WEAKLEY COUNTY SHERIFFS DEPARTMENT / WEAKLEY COUNTY JAIL,7951 STATE HIGHWAY 22,SHERIFF'S OFFICE,1840016070
1019398,UNION COUNTY SHERIFFS DEPARTMENT / UNION COUNTY JAIL,"901 MAIN STREET, SUITE 98",SHERIFF'S OFFICE,1840015305
1010097,POLK COUNTY SHERIFFS OFFICE,600 BRUCE STREET,SHERIFF'S OFFICE,1840006604
1019329,MARION COUNTY SHERIFFS DEPARTMENT / MARION COUNTY JAIL,5 OAK AVENUE,SHERIFF'S OFFICE,1840016428
1010792,JACKSON POLICE DEPARTMENT,525 SOUTH HOPE STREET,LOCAL POLICE DEPARTMENT,1840008735
1010990,OZARK POLICE DEPARTMENT,201 EAST BRICK STREET,LOCAL POLICE DEPARTMENT,1840009926
1010852,LAKE TAPAWINGO POLICE DEPARTMENT,144 ANCHOR DRIVE,LOCAL POLICE DEPARTMENT,1840008537
1015814,MAUMEE POLICE DEPARTMENT,109 EAST DUDLEY STREET,LOCAL POLICE DEPARTMENT,1840000569
1015329,BRUNSWICK POLICE DEPARTMENT,4095 CENTER ROAD,LOCAL POLICE DEPARTMENT,1840003485
1021667,TOOELE COUNTY SHERIFFS OFFICE / TOOELE COUNTY JAIL,47 SOUTH MAIN STREET,SHERIFF'S OFFICE,1840021356
1010609,CHILLICOTHE POLICE DEPARTMENT,613 WALNUT STREET,LOCAL POLICE DEPARTMENT,1840007302
1011123,SEDALIA POLICE DEPARTMENT,201 WEST 2ND STREET,LOCAL POLICE DEPARTMENT,1840009724
1011014,PLATTE WOODS POLICE DEPARTMENT,6750 NORTHWEST TOWER DRIVE,LOCAL POLICE DEPARTMENT,1840009592
1010998,PARKVILLE POLICE DEPARTMENT,8880 CLARK AVENUE,LOCAL POLICE DEPARTMENT,1840009590
1010585,CANTON POLICE DEPARTMENT,108 NORTH 5TH STREET,LOCAL POLICE DEPARTMENT,1840007258
1013772,WASHINGTON BOROUGH POLICE DEPARTMENT,100 BELVIDERE AVENUE,LOCAL POLICE DEPARTMENT,1840000945
1022633,BLACK CREEK POLICE DEPARTMENT,103 OAK STREET,LOCAL POLICE DEPARTMENT,1840002406
1021805,CUMBERLAND COUNTY SHERIFFS OFFICE,1492 ANDERSON HIGHWAY,SHERIFF'S OFFICE,1840026820
1012336,PLYMOUTH POLICE DEPARTMENT,132 EAST WATER STREET,LOCAL POLICE DEPARTMENT,1840016242
